"","deplete","cost"
"697",0.006,16.1248384753868
"698",0.013,15.365755908622
"699",0.009,83.8159252990565
"700",0.009,69.4129837947946
"701",0.009,64.6749160564908
"702",0.009,65.7864082896549
"703",0.007,30.2406549101608
"704",0.006,17.295207455919
"705",0.008,29.4207841868247
"706",0.009,41.2855720046544
"707",0.011,79.0877189918119
"708",0.013,84.4777275656077
"709",0.013,127.123073538186
"710",0.013,62.9759194256526
"711",0.013,176.473766064834
"712",0.012,40.2497586907126
"713",0.013,38.2952537191816
"714",0.009,27.3099446141206
"715",0.012,137.831612631494
"716",0.013,150.233053212784
"717",0.013,103.459667820991
"718",0.011,212.431638789364
"719",0.01,55.5963270288138
"720",0.011,86.8220211725945
"721",0.011,56.6279466685938
"722",0.013,116.90045669426
"723",0.012,160.221040837362
"724",0.012,125.052777214898
"725",0.008,20.0721287922227
"726",0.007,15.1348679191189
"727",0.008,19.9617592664641
"728",0.013,83.5445984939824
"729",0.008,24.8896197533874
"730",0.006,24.903192717946
"731",0.006,23.8146207018116
"732",0.015,17.9212330765149
"733",0.013,161.717624792321
"734",0.013,115.358146693877
"735",0.008,27.3065006094506
"736",0.007,25.9303134132928
"737",0.008,29.1384412810833
"738",0.007,20.2855140504654
"739",0.009,45.7357701169157
"740",0.006,15.2440541161379
"741",0.013,56.5610422934085
"742",0.012,35.9461425887772
"743",0.011,79.6646710094595
"744",0.008,16.8839922462611
"745",0.005,14.6158121813885
"746",0.007,14.6489953752124
"747",0.006,16.0868327139106
"748",0.007,18.5451471831578
"749",0.009,22.1102766482995
"750",0.008,21.790635959163
"751",0.011,20.343104696245
"752",0.01,19.4268586657787
"753",0.013,30.5918946791144
"754",0.015,61.058640281332
"755",0.016,77.4369407892189
"756",0.011,26.8125416390317
"757",0.014,76.7380263053109
"758",0.015,64.1471237627326
"759",0.012,45.4478746585728
"760",0.011,32.764565901241
"761",0.009,23.0476998981196
"762",0.012,38.0747481871526
"763",0.013,22.8213138505923
"764",0.015,7.49414856064209
"765",0.011,108.370248332597
"766",0.014,31.7418560697754
"767",0.015,102.187019630203
"768",0.014,39.2113360137223
"769",0.014,31.2324907126384
"770",0.011,31.9256250926292
"771",0.011,74.0029623691438
"772",0.011,36.8305957370789
"773",0.014,46.13997403557
"774",0.013,83.3033924289081
"775",0.01,29.8073187721652
"776",0.011,75.9456689065309
"777",0.015,90.4191636940648
"778",0.015,56.4656496449733
"779",0.014,89.3543246177024
"780",0.014,57.9590493481914
"781",0.008,18.1096487805409
"782",0.012,28.0234922328237
"783",0.015,15.0143330279698
"784",0.016,77.2557059470401
"785",0.017,71.2344500230703
"786",0.017,72.962934576508
"787",0.018,7.78384133673578
"788",0.015,51.5276436037851
"789",0.011,20.838000764284
"790",0.015,25.8209748819633
"791",0.014,43.9251689555976
"792",0.014,88.1600404755602
"793",0.008,18.05472115979
"794",0.007,19.1658213098167
"795",0.012,163.28423219523
"796",0.012,116.319429722353
"797",0.012,94.5295607296258
"798",0.012,132.921531920061
"799",0.013,37.0282976319568
"800",0.01,38.3461656506295
"801",0.012,95.4093301621354
"802",0.013,88.8759456724992
"803",0.012,98.0748422535494
"804",0.016,85.709757684525
"805",0.013,101.194634559879
"806",0.01,24.7860624643286
"807",0.006,13.3818198410653
"808",0.009,23.6061815575559
"809",0.011,68.326608710947
"810",0.01,31.407397267177
"811",0.014,37.653325365078
"812",0.015,2.0889194198092
"813",0.012,72.3089463133801
"814",0.009,18.4763809817584
"815",0.011,51.6125391597062
"816",0.009,47.7234933016594
"817",0.007,15.9232008345899
"818",0.007,16.4490436823792
"819",0.008,16.6965145946825
"820",0.011,27.3191026681154
"821",0.009,23.1462799910002
"822",0.007,11.5026990952988
