"Controls","Parameters"
"DOR_control","scale: 100 | max: 1 | resp_times: resp_time | rft_times: rft_time | reserve_value: reserve | fx: linear_DOR"
"emission_control","reserve_value: reserve | time: time_input | min_IRT: 1 | fx: G_E_emission"
"dep_control","deplete: 0.01 | reserve_value: reserve | fx: constant_dep"
"initial_reserve_control","initial: 0.75 | fx: constant_initial"
"event_control","VI_interval: 2 | time: time_input | fx: vi"
"termination_control","time: time_input | finish_time: 1000 | fx: time_termination"
"food_duration_control","food_dur: 3 | time: time_input | fx: constant_food_duration"
"time","event"
934.205849653137,"resp_time"
935.674535682686,"resp_time"
936.74661535233,"resp_time"
938.098117537394,"resp_time"
939.163888499475,"resp_time"
940.219943547573,"resp_time"
941.310417841469,"resp_time"
942.33496680006,"resp_time"
945.002403000064,"resp_time"
946.143854581302,"resp_time"
947.381210191308,"resp_time"
947.381210191308,"rft_time"
951.381210191308,"resp_time"
952.512302350729,"resp_time"
953.651122847044,"resp_time"
953.651122847044,"rft_time"
957.651122847044,"resp_time"
958.745294513883,"resp_time"
959.768763433364,"resp_time"
961.133276413866,"resp_time"
962.195317525528,"resp_time"
963.547669646051,"resp_time"
964.709110427521,"resp_time"
966.096193930025,"resp_time"
967.200155781309,"resp_time"
967.200155781309,"rft_time"
971.200155781309,"resp_time"
971.200155781309,"rft_time"
975.200155781309,"resp_time"
976.259615895872,"resp_time"
977.339537350876,"resp_time"
977.339537350876,"rft_time"
981.339537350876,"resp_time"
982.526069903829,"resp_time"
983.680006835431,"resp_time"
984.804355643984,"resp_time"
985.83036601354,"resp_time"
986.873304218904,"resp_time"
988.383116620136,"resp_time"
989.467202737444,"resp_time"
990.509884874462,"resp_time"
991.71186841218,"resp_time"
993.610383116577,"resp_time"
994.633468169028,"resp_time"
995.937091054837,"resp_time"
997.75173736146,"resp_time"
999.568544611944,"resp_time"
1000.97250860647,"resp_time"
