"","time","event"
"resp_time378",639.99331944227,"resp_time"
"resp_time379",641.308230225624,"resp_time"
"resp_time380",642.660495218897,"resp_time"
"resp_time381",644.048753246594,"resp_time"
"resp_time382",645.734983184899,"resp_time"
"resp_time383",648.104715497387,"resp_time"
"resp_time384",649.150897930047,"resp_time"
"resp_time385",651.593953269606,"resp_time"
"resp_time386",652.714990682398,"resp_time"
"resp_time387",653.978623116878,"resp_time"
"resp_time388",655.02472253587,"resp_time"
"resp_time389",656.819561643815,"resp_time"
"resp_time390",657.867409660057,"resp_time"
"rft_setup48",658.342562230387,"rft_setup"
"resp_time391",659.073014690814,"resp_time"
"rft_time48",659.073014690814,"rft_time"
"resp_time392",663.073014690814,"resp_time"
"resp_time393",664.268343038157,"resp_time"
"resp_time394",665.791344692416,"resp_time"
"resp_time395",667.081872857641,"resp_time"
"resp_time396",668.099932239049,"resp_time"
"resp_time397",669.558633998497,"resp_time"
"resp_time398",671.05686341073,"resp_time"
"resp_time399",672.332577703207,"resp_time"
"rft_setup49",673.395269918109,"rft_setup"
"resp_time400",673.702534346911,"resp_time"
"rft_time49",673.702534346911,"rft_time"
"resp_time401",677.702534346911,"resp_time"
"resp_time402",679.165411300004,"resp_time"
"rft_setup50",679.515593724552,"rft_setup"
"resp_time403",680.651285643917,"resp_time"
"rft_time50",680.651285643917,"rft_time"
"resp_time404",684.651285643917,"resp_time"
"resp_time405",685.744144443126,"resp_time"
"resp_time406",686.924205032023,"resp_time"
"resp_time407",688.235521083017,"resp_time"
"resp_time408",689.336378650398,"resp_time"
"rft_setup51",690.494037361112,"rft_setup"
"resp_time409",690.66798495194,"resp_time"
"rft_time51",690.66798495194,"rft_time"
"rft_setup52",693.997036891711,"rft_setup"
"resp_time410",694.66798495194,"resp_time"
"rft_time52",694.66798495194,"rft_time"
"resp_time411",698.66798495194,"resp_time"
"resp_time412",699.992916757309,"resp_time"
"resp_time413",701.62734362044,"resp_time"
"resp_time414",702.840957480055,"resp_time"
"resp_time415",704.137468507561,"resp_time"
"resp_time416",706.415505131535,"resp_time"
"resp_time417",707.686614556535,"resp_time"
"resp_time418",708.869482482857,"resp_time"
"resp_time419",710.145136837689,"resp_time"
"resp_time420",711.18400404875,"resp_time"
"resp_time421",712.990663190551,"resp_time"
"resp_time422",714.073662692045,"resp_time"
"resp_time423",715.669825540996,"resp_time"
"resp_time424",717.329725273361,"resp_time"
"resp_time425",718.407797797645,"resp_time"
"rft_setup53",718.523533859227,"rft_setup"
"resp_time426",719.984532433402,"resp_time"
"rft_time53",719.984532433402,"rft_time"
"rft_setup54",723.693362887789,"rft_setup"
"resp_time427",723.984532433402,"resp_time"
"rft_time54",723.984532433402,"rft_time"
"resp_time428",727.984532433402,"resp_time"
"resp_time429",729.394037736252,"resp_time"
"resp_time430",730.472951237755,"resp_time"
"resp_time431",731.553881140672,"resp_time"
"resp_time432",732.69277681208,"resp_time"
"resp_time433",734.066823644019,"resp_time"
"resp_time434",735.203522007122,"resp_time"
"resp_time435",736.769740328921,"resp_time"
"resp_time436",737.838114302707,"resp_time"
"resp_time437",739.209115576486,"resp_time"
"resp_time438",740.25841136788,"resp_time"
"resp_time439",741.874872478374,"resp_time"
"resp_time440",743.407509359803,"resp_time"
"resp_time441",746.861129927639,"resp_time"
"resp_time442",747.872930202773,"resp_time"
"resp_time443",749.033161875762,"resp_time"
"resp_time444",750.21253442682,"resp_time"
"resp_time445",751.261472338939,"resp_time"
"resp_time446",752.976777911146,"resp_time"
"resp_time447",754.612620533574,"resp_time"
"resp_time448",755.740399608415,"resp_time"
"rft_setup55",756.933337033749,"rft_setup"
"resp_time449",757.11817462044,"resp_time"
"rft_time55",757.11817462044,"rft_time"
"resp_time450",761.11817462044,"resp_time"
"rft_setup56",761.927603671794,"rft_setup"
"resp_time451",762.237380664778,"resp_time"
"rft_time56",762.237380664778,"rft_time"
"resp_time452",766.237380664778,"resp_time"
"resp_time453",767.724366202876,"resp_time"
"resp_time454",768.798680106179,"resp_time"
"resp_time455",769.976111843767,"resp_time"
"resp_time456",771.319716310872,"resp_time"
"resp_time457",772.349131885152,"resp_time"
"resp_time458",773.492013255216,"resp_time"
"resp_time459",774.937861112755,"resp_time"
"resp_time460",775.983368010516,"resp_time"
"resp_time461",777.27450648971,"resp_time"
"resp_time462",778.461491652155,"resp_time"
"resp_time463",779.511184928628,"resp_time"
"resp_time464",780.644631422942,"resp_time"
"rft_setup57",782.608504488207,"rft_setup"
"resp_time465",782.681966768536,"resp_time"
"rft_time57",782.681966768536,"rft_time"
"resp_time466",786.681966768536,"resp_time"
"resp_time467",787.842073052148,"resp_time"
"resp_time468",788.869771843062,"resp_time"
"resp_time469",789.991906673327,"resp_time"
"resp_time470",791.156944681115,"resp_time"
"resp_time471",792.278720173937,"resp_time"
"rft_setup58",793.494619467765,"rft_setup"
"resp_time472",793.502423423814,"resp_time"
"rft_time58",793.502423423814,"rft_time"
"resp_time473",797.502423423814,"resp_time"
"rft_setup59",798.08582909173,"rft_setup"
"resp_time474",798.815519649537,"resp_time"
"rft_time59",798.815519649537,"rft_time"
"resp_time475",802.815519649537,"resp_time"
"resp_time476",803.91123382513,"resp_time"
"resp_time477",805.240325341066,"resp_time"
"resp_time478",806.393155495888,"resp_time"
"rft_setup60",807.335883378984,"rft_setup"
"resp_time479",807.401674742489,"resp_time"
"rft_time60",807.401674742489,"rft_time"
"resp_time480",811.401674742489,"resp_time"
"resp_time481",812.605035214459,"resp_time"
"resp_time482",813.84479275188,"resp_time"
"resp_time483",814.90481313497,"resp_time"
"rft_setup61",814.915476898342,"rft_setup"
"resp_time484",816.637178190204,"resp_time"
"rft_time61",816.637178190204,"rft_time"
"resp_time485",820.637178190204,"resp_time"
"resp_time486",821.719264472586,"resp_time"
"rft_setup62",822.184247782605,"rft_setup"
"resp_time487",822.730477724556,"resp_time"
"rft_time62",822.730477724556,"rft_time"
"resp_time488",826.730477724556,"resp_time"
"resp_time489",827.92233388848,"resp_time"
"resp_time490",829.182355546467,"resp_time"
"resp_time491",830.505430929655,"resp_time"
"resp_time492",831.738076550154,"resp_time"
"rft_setup63",832.453359295014,"rft_setup"
"resp_time493",832.921268613491,"resp_time"
"rft_time63",832.921268613491,"rft_time"
"resp_time494",836.921268613491,"resp_time"
"resp_time495",837.939288669847,"resp_time"
"resp_time496",838.986473188723,"resp_time"
"rft_setup64",840.043530135611,"rft_setup"
"resp_time497",840.166631270431,"resp_time"
"rft_time64",840.166631270431,"rft_time"
"resp_time498",844.166631270431,"resp_time"
"resp_time499",845.824095270184,"resp_time"
"resp_time500",847.264996691399,"resp_time"
"resp_time501",848.520841988581,"resp_time"
"resp_time502",849.528412390924,"resp_time"
"resp_time503",850.585007859238,"resp_time"
"rft_setup65",850.611837362682,"rft_setup"
"resp_time504",851.702084604538,"resp_time"
"rft_time65",851.702084604538,"rft_time"
"resp_time505",855.702084604538,"resp_time"
"resp_time506",857.113866734022,"resp_time"
"resp_time507",858.173455620679,"resp_time"
"resp_time508",859.483043509991,"resp_time"
"resp_time509",861.082131143869,"resp_time"
"resp_time510",862.269592736847,"resp_time"
"rft_setup66",862.606322215337,"rft_setup"
"resp_time511",863.384804065301,"resp_time"
"rft_time66",863.384804065301,"rft_time"
"resp_time512",867.384804065301,"resp_time"
"resp_time513",868.442144498321,"resp_time"
"resp_time514",869.733698826779,"resp_time"
"resp_time515",871.637900930125,"resp_time"
"resp_time516",872.639813335917,"resp_time"
"resp_time517",873.685448126403,"resp_time"
"resp_time518",874.74639098751,"resp_time"
"resp_time519",875.956133569684,"resp_time"
"resp_time520",876.97698763275,"resp_time"
"resp_time521",878.084653708725,"resp_time"
"resp_time522",879.135806686403,"resp_time"
"resp_time523",880.861128983817,"resp_time"
